                          table_name                          | table_size | indexes_size | total_size 
 "information_schema"."usage_privileges"                      | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."tables"                                | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."transforms"                            | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."udt_privileges"                        | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."triggered_update_columns"              | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."role_udt_grants"                       | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."user_defined_types"                    | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."role_usage_grants"                     | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."view_column_usage"                     | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."view_routine_usage"                    | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."view_table_usage"                      | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."views"                                 | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."data_type_privileges"                  | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."user_mapping_options"                  | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."element_types"                         | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."_pg_foreign_table_columns"             | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."column_options"                        | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."_pg_foreign_data_wrappers"             | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."foreign_data_wrapper_options"          | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."user_mappings"                         | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."foreign_data_wrappers"                 | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."_pg_foreign_servers"                   | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."foreign_server_options"                | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."foreign_servers"                       | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."_pg_foreign_tables"                    | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."foreign_table_options"                 | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_statio_sys_indexes"                         | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."foreign_tables"                        | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."_pg_user_mappings"                     | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_seclabels"                                  | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_prepared_statements"                        | 0 bytes    | 0 bytes      | 0 bytes
